"nivel,categoria,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta"
"Junior,Windows,Qual é a função principal do Windows?,Editar vídeos,Gerenciar hardware e software,Criar planilhas,Navegar na internet,B"
"Junior,Windows,Qual tecla abre o menu iniciar?,Ctrl,Alt,Tecla Windows,Tab,C"
"Junior,Windows,O que é um arquivo?,Programa,Conjunto de dados,Vírus,Hardware,B"
"Junior,Windows,Qual desses é um navegador?,Word,Excel,Chrome,PowerPoint,C"
"Junior,Windows,Para copiar usamos:,Ctrl+X,Ctrl+C,Ctrl+V,Ctrl+Z,B"
"Junior,Windows,O que é a Lixeira?,Downloads,Arquivos deletados temporários,Limpeza,Área de trabalho,B"
"Junior,Windows,Qual extensão é documento?,.exe,.docx,.mp3,.jpg,B"
"Junior,Windows,O que é área de trabalho?,Software,Tela principal,Pasta,Editor,B"
"Junior,Windows,Renomear arquivo:,F1,F2,F5,F12,B"
"Junior,Windows,O que é pendrive?,Software,Armazenamento,Navegador,Sistema,B"
"Junior,Word,O Word é usado para:,Planilhas,Apresentações,Textos,Vídeos,C"
"Junior,Word,Alterar tamanho da fonte:,Layout,Inserir,Fonte,Revisão,C"
"Junior,Word,Negrito é:,Inclinado,Destacado,Apagado,Duplicado,B"
"Junior,Word,Ctrl+B serve para:,Salvar,Negrito,Copiar,Colar,B"
"Junior,Word,Salvar documento:,Ctrl+S,Ctrl+P,Ctrl+D,Ctrl+L,A"
"Junior,Excel,Excel é usado para:,Texto,Planilhas,Vídeos,E-mails,B"
"Junior,Excel,Célula é:,Linha,Coluna,Interseção,Arquivo,C"
"Junior,Excel,Fórmulas começam com:,#,$,=,&,C"
"Junior,Excel,Soma no Excel:,=ADD,=SUM,=SOMA,=PLUS,C"
"Junior,Excel,Gráficos servem para:,Decorar,Visualizar dados,Escrever,Imprimir,B"
"Junior,PowerPoint,PowerPoint é usado para:,Texto,Apresentações,Planilhas,E-mails,B"
"Junior,PowerPoint,Slide é:,Documento,Página,Arquivo,Gráfico,B"
"Junior,PowerPoint,Inserir imagem:,Revisão,Inserir,Layout,Exibir,B"
"Junior,PowerPoint,Transição é:,Fonte,Efeito,Tabela,Texto,B"
"Junior,PowerPoint,Iniciar apresentação:,F1,F5,F2,F10,B"
"Junior,Outlook,Outlook é usado para:,Planilhas,E-mail,Video,Jogos,B"
"Junior,Outlook,CC significa:,Cópia,Cancelar,Código,Conta,A"
"Junior,Outlook,Anexar arquivo:,Excluir,Enviar arquivo,Salvar,Imprimir,B"
"Junior,Redes Sociais,O que é rede social?,Sistema,Interação,Editor,Planilha,B"
"Junior,Redes Sociais,Curtida significa:,Compartilhar,Aprovação,Denúncia,Excluir,B"
"Junior,Redes Sociais,Hashtag serve para:,Apagar,Organizar,Bloquear,Editar,B"
"Junior,Redes Sociais,Qual é rede social?,Excel,Instagram,Word,Windows,B"
"Junior,Redes Sociais,Stories são:,Longos,Temporários,Arquivos,E-mails,B"
"Junior,Redes Sociais,Compartilhar é:,Apagar,Enviar conteúdo,Salvar,Editar,B"
"Junior,Power BI,Power BI serve para:,Texto,Análise dados,Vídeos,Jogos,B"
"Junior,Power BI,Dashboard é:,Documento,Painel,Arquivo,Planilha,B"
"Junior,Power BI,Gráficos servem para:,Decorar,Visualizar,Escrever,Apagar,B"
"Junior,Power BI,Fontes de dados:,Excel,Banco,Internet,Todas,D"
"Junior,Power BI,Relatório é:,Arquivo,Visualizações,Texto,Planilha,B"
"nivel,categoria,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta"
"Pleno,Windows,Qual atalho alterna entre janelas abertas?,Ctrl+Tab,Alt+Tab,Shift+Tab,Ctrl+Esc,B"
"Pleno,Windows,Gerenciador de tarefas abre com:,Ctrl+Alt+Del,Ctrl+Shift+Esc,Alt+F4,Win+R,B"
"Pleno,Windows,Extensão de executável:, .exe,.docx,.pdf,.jpg,A"
"Pleno,Windows,O que é um processo no Windows?,Arquivo,Programa em execução,Pasta,Driver,B"
"Pleno,Windows,Comando para abrir executar:,Win+R,Win+E,Win+D,Win+L,A"
"Pleno,Windows,O que é backup?,Excluir dados,Cópia de segurança,Formatação,Compactação,B"
"Pleno,Windows,Explorador de arquivos abre com:,Win+E,Win+R,Win+S,Win+F,A"
"Pleno,Windows,HD vs SSD diferença principal:,Preço,Velocidade,Tamanho,Cor,B"
"Pleno,Windows,Permissões de arquivo controlam:,Velocidade,Acesso,Formato,Nome,B"
"Pleno,Windows,Atualizações do Windows servem para:,Interface,Segurança e melhorias,Jogos,Limpeza,B"
"Pleno,Word,O que é formatação de parágrafo?,Fonte,Espaçamento/alinhamento,Cor,Imagem,B"
"Pleno,Word,Ctrl+Enter faz:,Salvar,Quebra de página,Negrito,Colar,B"
"Pleno,Word,Cabeçalho serve para:,Texto central,Topo da página,Imagem,Rodapé,B"
"Pleno,Word,Rodapé fica:,Topo,Base,Lado,Centro,B"
"Pleno,Word,Ctrl+L alinha:,Direita,Esquerda,Centro,Justificado,B"
"Pleno,Excel,O que faz PROCV?,Busca vertical,Soma dados,Conta células,Cria gráfico,A"
"Pleno,Excel,PROCV erro comum:,Formato,Intervalo incorreto,Cor,Layout,B"
"Pleno,Excel,Tabela dinâmica serve para:,Visualizar dados resumidos,Editar texto,Excluir dados,Imprimir,A"
"Pleno,Excel,Filtro avançado permite:,Excluir dados,Filtrar critérios complexos,Somar dados,Formatar,B"
"Pleno,Excel,Função SE serve para:,Soma,Condição lógica,Texto,Gráfico,B"
"Pleno,Excel,Função CONT.SE faz:,Conta com critério,Soma média,Filtra dados,Ordena,A"
"Pleno,Excel,Referência absoluta usa:,#,$,&,!,B"
"Pleno,Excel,Gráfico ideal para comparação:,Pizza,Coluna,Linha,Dispersão,B"
"Pleno,Excel,Atalho autofiltro:,Ctrl+Shift+L,Ctrl+F,Ctrl+T,Ctrl+E,A"
"Pleno,Excel,Classificação ordena dados por:,Cor,Valor,Nome,Formato,B"
"Pleno,PowerPoint,Mestre de slides serve para:,Criar gráficos,Padronizar layout,Inserir imagem,Animar,B"
"Pleno,PowerPoint,Animação aplica-se a:,Slide inteiro,Objeto específico,Arquivo,Texto todo,B"
"Pleno,PowerPoint,Transição ocorre entre:,Objetos,Slides,Tabelas,Imagens,B"
"Pleno,PowerPoint,Inserir vídeo:,Inserir,Layout,Design,Exibir,A"
"Pleno,PowerPoint,Duplicar slide:,Ctrl+D,Ctrl+C,Ctrl+V,Ctrl+X,A"
"Pleno,Outlook,Regra no Outlook serve para:,Excluir email automaticamente,Organizar emails,Enviar spam,Formatar,B"
"Pleno,Outlook,Caixa de saída contém:,Emails recebidos,Emails enviados,Emails pendentes de envio,Rascunhos,C"
"Pleno,Outlook,Responder a todos:,Responde apenas remetente,Responde todos participantes,Exclui email,Encaminha,B"
"Pleno,Redes Sociais,O que é engajamento?,Curtidas e interações,Posts apagados,Seguidores pagos,Impressões,A"
"Pleno,Redes Sociais,Alcance significa:,Quantidade de seguidores,Pessoas que viram conteúdo,Comentários,Compartilhamentos,B"
"Pleno,Redes Sociais,Algoritmo define:,Layout,Entrega do conteúdo,Cor,Texto,B"
"Pleno,Redes Sociais,Métrica CTR significa:,Cliques por visualização,Tempo de tela,Seguidores ativos,Compartilhamento,A"
"Pleno,Redes Sociais,Post patrocinado é:,Orgânico,Pago,Privado,Excluído,B"
"Pleno,Power BI,O que é ETL?,Extrair transformar carregar,Editar tabela,Excluir dados,Exportar texto,A"
"Pleno,Power BI,Power Query serve para:,Visualização,Tratamento de dados,Gráficos,Apresentação,B"
"Pleno,Power BI,Relacionamento entre tabelas permite:,Duplicar dados,Conectar dados,Excluir dados,Formatar,B"
"Pleno,Power BI,Visualização mais usada:,Texto,Gráfico,Tabela,Dados,B"
"Pleno,Power BI,Filtro no Power BI permite:,Excluir dados,Analisar subconjunto,Formatar,Exportar,B"
"Pleno,Power BI,Atualização de dados significa:,Excluir,Recarregar dados,Salvar,Compartilhar,B"
"Senior,Windows,O que é virtualização?,Executar vários SO em uma máquina,Formatar disco,Excluir arquivos,Atualizar sistema,A"
"Senior,Windows,O que é política de grupo (GPO)?,Configuração de rede,Controle centralizado de usuários,Backup automático,Firewall,B"
"Senior,Windows,NTFS é:,Sistema de arquivos,Driver de vídeo,Protocolo rede,Aplicativo,A"
"Senior,Windows,BitLocker serve para:,Compactar arquivos,Criptografar disco,Excluir dados,Formatar,B"
"Senior,Windows,Modo de segurança serve para:,Rodar jogos,Diagnóstico do sistema,Atualizar drivers,Navegar,B"
"Senior,Windows,Firewall faz:,Aumenta velocidade,Bloqueia acessos indevidos,Limpa disco,Atualiza sistema,B"
"Senior,Windows,DNS resolve:,IP para nome,Nome para IP,Arquivos,Usuários,B"
"Senior,Windows,VPN serve para:,Acelerar internet,Conexão segura remota,Excluir vírus,Backup,B"
"Senior,Windows,Active Directory é:,Banco de dados,Gerenciamento de usuários,Firewall,Driver,B"
"Senior,Windows,Processo zumbi é:,Ativo,Encerrado sem liberar recursos,Executando,Oculto,B"
"Senior,Word,O que são estilos no Word?,Fontes,Padronização de formatação,Imagens,Tabelas,B"
"Senior,Word,Sumário automático depende de:,Negrito,Estilos,Cor,Layout,B"
"Senior,Word,Controle de alterações serve para:,Excluir texto,Revisar alterações,Salvar arquivo,Formatar,B"
"Senior,Word,Mesclar correspondência serve para:,Emails em massa,Automatizar documentos personalizados,Excluir dados,Formatar,B"
"Senior,Word,Seção no Word permite:,Dividir documento com formatações diferentes,Excluir páginas,Inserir imagens,Salvar,A"
"Senior,Excel,PROCX substitui:,PROCV,SOMA,SE,CONT.SE,A"
"Senior,Excel,ÍNDICE + CORRESP serve para:,Busca flexível,Soma dados,Filtrar,Ordenar,A"
"Senior,Excel,Power Query no Excel serve para:,Automação ETL,Gráfico,Texto,Impressão,A"
"Senior,Excel,Macro é:,Fórmula,Automação com VBA,Gráfico,Filtro,B"
"Senior,Excel,Tabela estruturada permite:,Referência dinâmica,Excluir dados,Formatar texto,Salvar,A"
"Senior,Excel,Validação de dados serve para:,Excluir dados,Controlar entrada,Somar dados,Filtrar,B"
"Senior,Excel,Segmentação de dados serve para:,Filtro visual,Gráfico,Texto,Macro,A"
"Senior,Excel,Power Pivot permite:,Modelagem dados,Texto,Imagem,Layout,A"
"Senior,Excel,Função SOMASES faz:,Soma condicional múltipla,Contagem,Texto,Gráfico,A"
"Senior,Excel,Erro #N/D significa:,Sem valor disponível,Erro fórmula,Divisão zero,Texto inválido,A"
"Senior,PowerPoint,Slide mestre permite:,Padronização global,Excluir slides,Inserir gráficos,Salvar,A"
"Senior,PowerPoint,Animação avançada pode ser controlada por:,Tempo e gatilho,Texto,Cor,Layout,A"
"Senior,PowerPoint,Apresentação corporativa exige:,Design consistente,Efeitos excessivos,Cores aleatórias,Texto longo,A"
"Senior,PowerPoint,Modo apresentador mostra:,Notas do apresentador,Somente slides,Imagens,Texto,A"
"Senior,PowerPoint,Exportar para vídeo serve para:,Compartilhamento,Excluir slides,Formatar,Editar,A"
"Senior,Outlook,O que é IMAP?,Protocolo sincronização email,Firewall,Antivírus,Backup,A"
"Senior,Outlook,O que é POP3?,Download local de emails,Envio de email,Firewall,Proxy,A"
"Senior,Outlook,Exchange é:,Servidor de email corporativo,Navegador,Planilha,Editor,A"
"Senior,Redes Sociais,O que é funil de vendas?,Etapas do cliente até conversão,Postagem,Seguidores,Layout,A"
"Senior,Redes Sociais,ROI significa:,Retorno sobre investimento,Seguidores ativos,Engajamento,CTR,A"
"Senior,Redes Sociais,Pixel serve para:,Rastreamento de usuários,Imagem,Texto,Filtro,A"
"Senior,Redes Sociais,A/B test é:,Teste comparativo,Postagem dupla,Exclusão,Automação,A"
"Senior,Redes Sociais,Lead significa:,Cliente potencial,Postagem,Imagem,Usuário,A"
"Senior,Power BI,DAX é:,Linguagem de cálculo,Ferramenta ETL,Gráfico,Layout,A"
"Senior,Power BI,CALCULATE serve para:,Modificar contexto de filtro,Soma,Texto,Excluir,A"
"Senior,Power BI,Relacionamento cardinalidade:,Define relação entre tabelas,Exclui dados,Filtra texto,Ordena,A"
"Senior,Power BI,RLS significa:,Segurança por linha,Relatório,Layout,Texto,A"
"Senior,Power BI,Medida é:,Cálculo dinâmico,Coluna fixa,Texto,Gráfico,A"
"Senior,Power BI,Coluna calculada é:,Valor fixo calculado,Cálculo dinâmico,Filtro,Gráfico,A"
"Senior,Power BI,Star schema é:,Modelo dimensional,Layout gráfico,Texto,Relatório,A"
"Senior,Power BI,Drill down permite:,Detalhar dados,Excluir dados,Formatar,Salvar,A"
"Senior,Power BI,Power BI Service serve para:,Publicar relatórios,Editar Excel,Texto,Excluir,A"
"Senior,Power BI,Gateway permite:,Atualização dados local,Excluir dados,Formatar,Salvar,A"
